Make ,Model,Vehicle Class,Weight (Ton),Steel percentage,Glass percentage,Plastic percentage,Aluminium Percentage,CO2 of steel/unit,CO2 of glass/unit,CO2 of aluminium/unit,CO2 of plastic/unit,MFG Total CO2/unit (ton),MFG Total CO2/unit (g),Recycling CO2 steel (.35),R CO2 alumunium 0.5,R glass (1.08),R plastic (2.1),Recycling Total CO2 in ton,
ASTON MARTIN,DB9,MINICOMPACT,2.029,65.00%,10.00%,15.00%,10.00%,2.4398725,0.253625,2.33335,0.91305,5.9398975,5388585.914,0.4615975,0.10145,0.219132,0.639135,1.4213145,7.361212
ASTON MARTIN,RAPIDE,SUBCOMPACT,2.1935,65.00%,10.00%,15.00%,10.00%,2.63768375,0.2741875,2.522525,0.987075,6.42147125,5825462.396,0.49902125,0.109675,0.236898,0.6909525,1.53654675,7.958018
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,1.885,65.00%,10.00%,15.00%,10.00%,2.2667125,0.235625,2.16775,0.84825,5.5183375,5006153.005,0.4288375,0.09425,0.20358,0.593775,1.3204425,6.83878
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,1.885,65.00%,10.00%,15.00%,10.00%,2.2667125,0.235625,2.16775,0.84825,5.5183375,5006153.005,0.4288375,0.09425,0.20358,0.593775,1.3204425,6.83878
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,1.863,65.00%,10.00%,15.00%,10.00%,2.2402575,0.232875,2.14245,0.83835,5.4539325,4947725.755,0.4238325,0.09315,0.201204,0.586845,1.3050315,6.758964
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,1.863,65.00%,10.00%,15.00%,10.00%,2.2402575,0.232875,2.14245,0.83835,5.4539325,4947725.755,0.4238325,0.09315,0.201204,0.586845,1.3050315,6.758964
ASTON MARTIN,VANQUISH,MINICOMPACT,2.0325,65.00%,10.00%,15.00%,10.00%,2.44408125,0.2540625,2.337375,0.914625,5.95014375,5397881.158,0.46239375,0.101625,0.21951,0.6402375,1.42376625,7.37391
AUDI,A4,COMPACT,1.863,65.00%,10.00%,15.00%,10.00%,2.2402575,0.232875,2.14245,0.83835,5.4539325,4947725.755,0.4238325,0.09315,0.201204,0.586845,1.3050315,6.758964
AUDI,A4 QUATTRO,COMPACT,3.435,65.00%,10.00%,15.00%,10.00%,4.1305875,0.429375,3.95025,1.54575,10.0559625,9122618.341,0.7814625,0.17175,0.37098,1.082025,2.4062175,12.46218
AUDI,A4 QUATTRO,COMPACT,3.435,65.00%,10.00%,15.00%,10.00%,4.1305875,0.429375,3.95025,1.54575,10.0559625,9122618.341,0.7814625,0.17175,0.37098,1.082025,2.4062175,12.46218
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,1.9895,65.00%,10.00%,15.00%,10.00%,2.39237375,0.2486875,2.287925,0.895275,5.82426125,5283682.442,0.45261125,0.099475,0.214866,0.6266925,1.39364475,7.217906
AUDI,A5 QUATTRO,SUBCOMPACT,1.863,65.00%,10.00%,15.00%,10.00%,2.2402575,0.232875,2.14245,0.83835,5.4539325,4947725.755,0.4238325,0.09315,0.201204,0.586845,1.3050315,6.758964
AUDI,A5 QUATTRO,SUBCOMPACT,1.863,65.00%,10.00%,15.00%,10.00%,2.2402575,0.232875,2.14245,0.83835,5.4539325,4947725.755,0.4238325,0.09315,0.201204,0.586845,1.3050315,6.758964
AUDI,A6 QUATTRO,MID-SIZE,2.133,65.00%,10.00%,15.00%,10.00%,2.5649325,0.266625,2.45295,0.95985,6.2443575,5664787.459,0.4852575,0.10665,0.230364,0.671895,1.4941665,7.738524
AUDI,A6 QUATTRO,MID-SIZE,2.133,65.00%,10.00%,15.00%,10.00%,2.5649325,0.266625,2.45295,0.95985,6.2443575,5664787.459,0.4852575,0.10665,0.230364,0.671895,1.4941665,7.738524
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,1.896,65.00%,10.00%,15.00%,10.00%,2.27994,0.237,2.1804,0.8532,5.55054,5035366.63,0.43134,0.0948,0.204768,0.59724,1.328148,6.878688
AUDI,A7 QUATTRO,MID-SIZE,2.133,65.00%,10.00%,15.00%,10.00%,2.5649325,0.266625,2.45295,0.95985,6.2443575,5664787.459,0.4852575,0.10665,0.230364,0.671895,1.4941665,7.738524
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,2.034,65.00%,10.00%,15.00%,10.00%,2.445885,0.25425,2.3391,0.9153,5.954535,5401864.834,0.462735,0.1017,0.219672,0.64071,1.424817,7.379352
AUDI,A8,MID-SIZE,2.3865,65.00%,10.00%,15.00%,10.00%,2.86976625,0.2983125,2.744475,1.073925,6.98647875,6338028.725,0.54292875,0.119325,0.257742,0.7517475,1.67174325,8.658222
AUDI,A8,MID-SIZE,2.3865,65.00%,10.00%,15.00%,10.00%,2.86976625,0.2983125,2.744475,1.073925,6.98647875,6338028.725,0.54292875,0.119325,0.257742,0.7517475,1.67174325,8.658222
AUDI,A8 TDI (modified),MID-SIZE,2.282,65.00%,10.00%,15.00%,10.00%,2.744105,0.28525,2.6243,1.0269,6.680555,6060499.288,0.519155,0.1141,0.246456,0.71883,1.598541,8.279096
AUDI,A8L,FULL-SIZE,2.3865,65.00%,10.00%,15.00%,10.00%,2.86976625,0.2983125,2.744475,1.073925,6.98647875,6338028.725,0.54292875,0.119325,0.257742,0.7517475,1.67174325,8.658222
AUDI,A8L,FULL-SIZE,2.3865,65.00%,10.00%,15.00%,10.00%,2.86976625,0.2983125,2.744475,1.073925,6.98647875,6338028.725,0.54292875,0.119325,0.257742,0.7517475,1.67174325,8.658222
AUDI,A8L,FULL-SIZE,2.3865,65.00%,10.00%,15.00%,10.00%,2.86976625,0.2983125,2.744475,1.073925,6.98647875,6338028.725,0.54292875,0.119325,0.257742,0.7517475,1.67174325,8.658222
AUDI,A8L TDI (modified),FULL-SIZE,2.282,65.00%,10.00%,15.00%,10.00%,2.744105,0.28525,2.6243,1.0269,6.680555,6060499.288,0.519155,0.1141,0.246456,0.71883,1.598541,8.279096
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.502,65.00%,10.00%,15.00%,10.00%,3.008655,0.31275,2.8773,1.1259,7.324605,6644771.787,0.569205,0.1251,0.270216,0.78813,1.752651,9.077256
AUDI,Q5,SUV - SMALL,2.0505,65.00%,10.00%,15.00%,10.00%,2.46572625,0.2563125,2.358075,0.922725,6.00283875,5445685.271,0.46648875,0.102525,0.221454,0.6459075,1.43637525,7.439214
AUDI,Q5,SUV - SMALL,2.0505,65.00%,10.00%,15.00%,10.00%,2.46572625,0.2563125,2.358075,0.922725,6.00283875,5445685.271,0.46648875,0.102525,0.221454,0.6459075,1.43637525,7.439214
AUDI,Q5 TDI (modified),SUV - SMALL,2.254,65.00%,10.00%,15.00%,10.00%,2.710435,0.28175,2.5921,1.0143,6.598585,5986137.333,0.512785,0.1127,0.243432,0.71001,1.578927,8.177512
AUDI,Q5 HYBRID,SUV - SMALL,2.0505,65.00%,10.00%,15.00%,10.00%,2.46572625,0.2563125,2.358075,0.922725,6.00283875,5445685.271,0.46648875,0.102525,0.221454,0.6459075,1.43637525,7.439214
AUDI,Q7,SUV - STANDARD,2.469,65.00%,10.00%,15.00%,10.00%,2.9689725,0.308625,2.83935,1.11105,7.2279975,6557130.912,0.5616975,0.12345,0.266652,0.777735,1.7295345,8.957532
AUDI,Q7 TDI (modified),SUV - STANDARD,2.706,65.00%,10.00%,15.00%,10.00%,3.253965,0.33825,3.1119,1.2177,7.921815,7186551.741,0.615615,0.1353,0.292248,0.85239,1.895553,9.817368
AUDI,R8,TWO-SEATER,1.9565,65.00%,10.00%,15.00%,10.00%,2.35269125,0.2445625,2.249975,0.880425,5.72765375,5196041.567,0.44510375,0.097825,0.211302,0.6162975,1.37052825,7.098182
AUDI,R8,TWO-SEATER,1.9565,65.00%,10.00%,15.00%,10.00%,2.35269125,0.2445625,2.249975,0.880425,5.72765375,5196041.567,0.44510375,0.097825,0.211302,0.6162975,1.37052825,7.098182
AUDI,RS,TWO-SEATER,2.469,65.00%,10.00%,15.00%,10.00%,2.9689725,0.308625,2.83935,1.11105,7.2279975,6557130.912,0.5616975,0.12345,0.266652,0.777735,1.7295345,8.957532
AUDI,RS,TWO-SEATER,2.469,65.00%,10.00%,15.00%,10.00%,2.9689725,0.308625,2.83935,1.11105,7.2279975,6557130.912,0.5616975,0.12345,0.266652,0.777735,1.7295345,8.957532
AUDI,R8 SPYDER,TWO-SEATER,1.896,65.00%,10.00%,15.00%,10.00%,2.27994,0.237,2.1804,0.8532,5.55054,5035366.63,0.43134,0.0948,0.204768,0.59724,1.328148,6.878688
AUDI,R8 SPYDER,TWO-SEATER,1.896,65.00%,10.00%,15.00%,10.00%,2.27994,0.237,2.1804,0.8532,5.55054,5035366.63,0.43134,0.0948,0.204768,0.59724,1.328148,6.878688
AUDI,R8 SPYDER,TWO-SEATER,1.896,65.00%,10.00%,15.00%,10.00%,2.27994,0.237,2.1804,0.8532,5.55054,5035366.63,0.43134,0.0948,0.204768,0.59724,1.328148,6.878688
AUDI,R8 SPYDER,TWO-SEATER,1.896,65.00%,10.00%,15.00%,10.00%,2.27994,0.237,2.1804,0.8532,5.55054,5035366.63,0.43134,0.0948,0.204768,0.59724,1.328148,6.878688
AUDI,RS 5,SUBCOMPACT,2.028,65.00%,10.00%,15.00%,10.00%,2.43867,0.2535,2.3322,0.9126,5.93697,5385930.129,0.46137,0.1014,0.219024,0.63882,1.420614,7.357584
AUDI,RS 5 CABRIOLET,SUBCOMPACT,2.21,65.00%,10.00%,15.00%,10.00%,2.657525,0.27625,2.5415,0.9945,6.469775,5869282.833,0.502775,0.1105,0.23868,0.69615,1.548105,8.01788
AUDI,RS 7,MID-SIZE,2.469,65.00%,10.00%,15.00%,10.00%,2.9689725,0.308625,2.83935,1.11105,7.2279975,6557130.912,0.5616975,0.12345,0.266652,0.777735,1.7295345,8.957532
AUDI,S4,COMPACT,1.9235,65.00%,10.00%,15.00%,10.00%,2.31300875,0.2404375,2.212025,0.865575,5.63104625,5108400.692,0.43759625,0.096175,0.207738,0.6059025,1.34741175,6.978458
AUDI,S4,COMPACT,1.9235,65.00%,10.00%,15.00%,10.00%,2.31300875,0.2404375,2.212025,0.865575,5.63104625,5108400.692,0.43759625,0.096175,0.207738,0.6059025,1.34741175,6.978458
AUDI,S5,SUBCOMPACT,1.9235,65.00%,10.00%,15.00%,10.00%,2.31300875,0.2404375,2.212025,0.865575,5.63104625,5108400.692,0.43759625,0.096175,0.207738,0.6059025,1.34741175,6.978458
AUDI,S5,SUBCOMPACT,1.9235,65.00%,10.00%,15.00%,10.00%,2.31300875,0.2404375,2.212025,0.865575,5.63104625,5108400.692,0.43759625,0.096175,0.207738,0.6059025,1.34741175,6.978458
AUDI,S5 CABRIOLET,SUBCOMPACT,2.0835,65.00%,10.00%,15.00%,10.00%,2.50540875,0.2604375,2.396025,0.937575,6.09944625,5533326.146,0.47399625,0.104175,0.225018,0.6563025,1.45949175,7.558938
AUDI,S6,MID-SIZE,2.243,65.00%,10.00%,15.00%,10.00%,2.6972075,0.280375,2.57945,1.00935,6.5663825,5956923.708,0.5102825,0.11215,0.242244,0.706545,1.5712215,8.137604
AUDI,S7,MID-SIZE,2.2985,65.00%,10.00%,15.00%,10.00%,2.76394625,0.2873125,2.643275,1.034325,6.72885875,6104319.725,0.52290875,0.114925,0.248238,0.7240275,1.61009925,8.338958
AUDI,S8,MID-SIZE,2.2765,65.00%,10.00%,15.00%,10.00%,2.73749125,0.2845625,2.617975,1.024425,6.66445375,6045892.475,0.51790375,0.113825,0.245862,0.7170975,1.59468825,8.259142
AUDI,SQ5,SUV - SMALL,2.144,65.00%,10.00%,15.00%,10.00%,2.57816,0.268,2.4656,0.9648,6.27656,5694001.084,0.48776,0.1072,0.231552,0.67536,1.501872,7.778432
AUDI,TT COUPE QUATTRO,SUBCOMPACT,1.582,65.00%,10.00%,15.00%,10.00%,1.902355,0.19775,1.8193,0.7119,4.631305,4201450.426,0.359905,0.0791,0.170856,0.49833,1.108191,5.739496
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,1.7195,65.00%,10.00%,15.00%,10.00%,2.06769875,0.2149375,1.977425,0.773775,5.03383625,4566620.738,0.39118625,0.085975,0.185706,0.5416425,1.20450975,6.238346
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,1.5650,65.00%,10.00%,15.00%,10.00%,1.8819125,0.195625,1.79975,0.70425,4.5815375,4156302.097,0.3560375,0.07825,0.16902,0.492975,1.0962825,5.67782
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,1.6645,65.00%,10.00%,15.00%,10.00%,2.00156125,0.2080625,1.914175,0.749025,4.87282375,4420552.614,0.37867375,0.083225,0.179766,0.5243175,1.16598225,6.038806
BENTLEY,CONTINENTAL GT,SUBCOMPACT,2.4825,65.00%,10.00%,15.00%,10.00%,2.98520625,0.3103125,2.854875,1.117125,7.26751875,6592983.997,0.56476875,0.124125,0.26811,0.7819875,1.73899125,9.00651
BENTLEY,CONTINENTAL GT,SUBCOMPACT,2.4825,65.00%,10.00%,15.00%,10.00%,2.98520625,0.3103125,2.854875,1.117125,7.26751875,6592983.997,0.56476875,0.124125,0.26811,0.7819875,1.73899125,9.00651
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,2.5355,65.00%,10.00%,15.00%,10.00%,3.04893875,0.3169375,2.915825,1.140975,7.42267625,6733740.554,0.57682625,0.126775,0.273834,0.7986825,1.77611775,9.198794
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,2.5355,65.00%,10.00%,15.00%,10.00%,3.04893875,0.3169375,2.915825,1.140975,7.42267625,6733740.554,0.57682625,0.126775,0.273834,0.7986825,1.77611775,9.198794
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,2.685,65.00%,10.00%,15.00%,10.00%,3.2287125,0.335625,3.08775,1.20825,7.8603375,7130780.275,0.6108375,0.13425,0.28998,0.845775,1.8808425,9.74118
BENTLEY,FLYING SPUR,MID-SIZE,2.627,65.00%,10.00%,15.00%,10.00%,3.1589675,0.328375,3.02105,1.18215,7.6905425,6976744.798,0.5976425,0.13135,0.283716,0.827505,1.8402135,9.530756
BENTLEY,MULSANNE,MID-SIZE,2.9595,65.00%,10.00%,15.00%,10.00%,3.55879875,0.3699375,3.403425,1.331775,8.66393625,7859793.007,0.67328625,0.147975,0.319626,0.9322425,2.07312975,10.737066
BMW,320i,COMPACT,1.6475,65.00%,10.00%,15.00%,10.00%,1.98111875,0.2059375,1.894625,0.741375,4.82305625,4375404.284,0.37480625,0.082375,0.17793,0.5189625,1.15407375,5.97713
BMW,320i,COMPACT,1.6475,65.00%,10.00%,15.00%,10.00%,1.98111875,0.2059375,1.894625,0.741375,4.82305625,4375404.284,0.37480625,0.082375,0.17793,0.5189625,1.15407375,5.97713
BMW,320i xDRIVE,COMPACT,1.725,65.00%,10.00%,15.00%,10.00%,2.0743125,0.215625,1.98375,0.77625,5.0499375,4581227.551,0.3924375,0.08625,0.1863,0.543375,1.2083625,6.2583
BMW,328d xDRIVE,COMPACT,1.875,65.00%,10.00%,15.00%,10.00%,2.2546875,0.234375,2.15625,0.84375,5.4890625,4979595.164,0.4265625,0.09375,0.2025,0.590625,1.3134375,6.8025
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,1.948,65.00%,10.00%,15.00%,10.00%,2.34247,0.2435,2.2402,0.8766,5.70277,5173467.402,0.44317,0.0974,0.210384,0.61362,1.364574,7.067344
BMW,328i,COMPACT,1.7,65.00%,10.00%,15.00%,10.00%,2.04425,0.2125,1.955,0.765,4.97675,4514832.949,0.38675,0.085,0.1836,0.5355,1.19085,6.1676
BMW,328i,COMPACT,1.7,65.00%,10.00%,15.00%,10.00%,2.04425,0.2125,1.955,0.765,4.97675,4514832.949,0.38675,0.085,0.1836,0.5355,1.19085,6.1676
BMW,328i xDRIVE,COMPACT,1.758,65.00%,10.00%,15.00%,10.00%,2.113995,0.21975,2.0217,0.7911,5.146545,4668868.426,0.399945,0.0879,0.189864,0.55377,1.231479,6.378024
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,1.9575,65.00%,10.00%,15.00%,10.00%,2.35389375,0.2446875,2.251125,0.880875,5.73058125,5198697.351,0.44533125,0.097875,0.21141,0.6166125,1.37122875,7.10181
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,1.8355,65.00%,10.00%,15.00%,10.00%,2.20718875,0.2294375,2.110825,0.825975,5.37342625,4874691.693,0.41757625,0.091775,0.198234,0.5781825,1.28576775,6.659194
BMW,335i,COMPACT,1.7775,65.00%,10.00%,15.00%,10.00%,2.13744375,0.2221875,2.044125,0.799875,5.20363125,4720656.216,0.40438125,0.088875,0.19197,0.5599125,1.24513875,6.44877
BMW,335i,COMPACT,1.7775,65.00%,10.00%,15.00%,10.00%,2.13744375,0.2221875,2.044125,0.799875,5.20363125,4720656.216,0.40438125,0.088875,0.19197,0.5599125,1.24513875,6.44877
BMW,335i xDRIVE,COMPACT,1.855,65.00%,10.00%,15.00%,10.00%,2.2306375,0.231875,2.13325,0.83475,5.4305125,4926479.482,0.4220125,0.09275,0.20034,0.584325,1.2994275,6.72994
BMW,335i xDRIVE,COMPACT,1.855,65.00%,10.00%,15.00%,10.00%,2.2306375,0.231875,2.13325,0.83475,5.4305125,4926479.482,0.4220125,0.09275,0.20034,0.584325,1.2994275,6.72994
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,2.005,65.00%,10.00%,15.00%,10.00%,2.4110125,0.250625,2.30575,0.90225,5.8696375,5324847.095,0.4561375,0.10025,0.21654,0.631575,1.4045025,7.27414
BMW,428i COUPE,COMPACT,1.681,65.00%,10.00%,15.00%,10.00%,2.0214025,0.210125,1.93315,0.75645,4.9211275,4464373.051,0.3824275,0.08405,0.181548,0.529515,1.1775405,6.098668
BMW,428i COUPE,COMPACT,1.681,65.00%,10.00%,15.00%,10.00%,2.0214025,0.210125,1.93315,0.75645,4.9211275,4464373.051,0.3824275,0.08405,0.181548,0.529515,1.1775405,6.098668
BMW,428i xDRIVE COUPE,COMPACT,1.769,65.00%,10.00%,15.00%,10.00%,2.1272225,0.221125,2.03435,0.79605,5.1787475,4698082.051,0.4024475,0.08845,0.191052,0.557235,1.2391845,6.417932
BMW,435i COUPE,COMPACT,1.8175,65.00%,10.00%,15.00%,10.00%,2.18554375,0.2271875,2.090125,0.817875,5.32073125,4826887.579,0.41348125,0.090875,0.19629,0.5725125,1.27315875,6.59389
BMW,435i COUPE,COMPACT,1.8175,65.00%,10.00%,15.00%,10.00%,2.18554375,0.2271875,2.090125,0.817875,5.32073125,4826887.579,0.41348125,0.090875,0.19629,0.5725125,1.27315875,6.59389
BMW,435i xDRIVE COUPE,COMPACT,1.8875,65.00%,10.00%,15.00%,10.00%,2.26971875,0.2359375,2.170625,0.849375,5.52565625,5012792.465,0.42940625,0.094375,0.20385,0.5945625,1.32219375,6.84785
BMW,435i xDRIVE COUPE,COMPACT,1.8875,65.00%,10.00%,15.00%,10.00%,2.26971875,0.2359375,2.170625,0.849375,5.52565625,5012792.465,0.42940625,0.094375,0.20385,0.5945625,1.32219375,6.84785
BMW,528i,MID-SIZE,1.907,65.00%,10.00%,15.00%,10.00%,2.2931675,0.238375,2.19305,0.85815,5.5827425,5064580.255,0.4338425,0.09535,0.205956,0.600705,1.3358535,6.918596
BMW,528i xDRIVE,MID-SIZE,2.0005,65.00%,10.00%,15.00%,10.00%,2.40560125,0.2500625,2.300575,0.900225,5.85646375,5312896.067,0.45511375,0.100025,0.216054,0.6301575,1.40135025,7.257814
BMW,535d xDRIVE,MID-SIZE,2.1275,65.00%,10.00%,15.00%,10.00%,2.55831875,0.2659375,2.446625,0.957375,6.22825625,5650180.646,0.48400625,0.106375,0.22977,0.6701625,1.49031375,7.71857
BMW,535i xDRIVE,MID-SIZE,2.0285,65.00%,10.00%,15.00%,10.00%,2.43927125,0.2535625,2.332775,0.912825,5.93843375,5387258.021,0.46148375,0.101425,0.219078,0.6389775,1.42096425,7.359398
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,2.3535,65.00%,10.00%,15.00%,10.00%,2.83008375,0.2941875,2.706525,1.059075,6.88987125,6250387.85,0.53542125,0.117675,0.254178,0.7413525,1.64862675,8.538498
BMW,550i xDRIVE,MID-SIZE,2.2595,65.00%,10.00%,15.00%,10.00%,2.71704875,0.2824375,2.598425,1.016775,6.61468625,6000744.146,0.51403625,0.112975,0.244026,0.7117425,1.58277975,8.197466
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,2.53,65.00%,10.00%,15.00%,10.00%,3.042325,0.31625,2.9095,1.1385,7.406575,6719133.741,0.575575,0.1265,0.27324,0.79695,1.772265,9.17884
BMW,640i xDRIVE GRAN COUPE,COMPACT,2.1825,65.00%,10.00%,15.00%,10.00%,2.62445625,0.2728125,2.509875,0.982125,6.38926875,5796248.771,0.49651875,0.109125,0.23571,0.6874875,1.52884125,7.91811
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,2.265,65.00%,10.00%,15.00%,10.00%,2.7236625,0.283125,2.60475,1.01925,6.6307875,6015350.958,0.5152875,0.11325,0.24462,0.713475,1.5866325,8.21742
BMW,650i xDRIVE COUPE,COMPACT,2.205,65.00%,10.00%,15.00%,10.00%,2.6515125,0.275625,2.53575,0.99225,6.4551375,5856003.913,0.5016375,0.11025,0.23814,0.694575,1.5446025,7.99974
BMW,650i xDRIVE GRAN COUPE,COMPACT,2.3025,65.00%,10.00%,15.00%,10.00%,2.76875625,0.2878125,2.647875,1.036125,6.74056875,6114942.861,0.52381875,0.115125,0.24867,0.7252875,1.61290125,8.35347
BMW,740Li xDRIVE,FULL-SIZE,2.1905,65.00%,10.00%,15.00%,10.00%,2.63407625,0.2738125,2.519075,0.985725,6.41268875,5817495.044,0.49833875,0.109525,0.236574,0.6900075,1.53444525,7.947134
BMW,750i xDRIVE,FULL-SIZE,2.361,65.00%,10.00%,15.00%,10.00%,2.8391025,0.295125,2.71515,1.06245,6.9118275,6270306.231,0.5371275,0.11805,0.254988,0.743715,1.6538805,8.565708
BMW,750Li xDRIVE,FULL-SIZE,2.3535,65.00%,10.00%,15.00%,10.00%,2.83008375,0.2941875,2.706525,1.059075,6.88987125,6250387.85,0.53542125,0.117675,0.254178,0.7413525,1.64862675,8.538498
BMW,760Li,FULL-SIZE,2.48,65.00%,10.00%,15.00%,10.00%,2.9822,0.31,2.852,1.116,7.2602,6586344.537,0.5642,0.124,0.26784,0.7812,1.73724,8.99744
BMW,ACTIVEHYBRID 3,COMPACT,1.9125,65.00%,10.00%,15.00%,10.00%,2.29978125,0.2390625,2.199375,0.860625,5.59884375,5079187.067,0.43509375,0.095625,0.20655,0.6024375,1.33970625,6.93855
BMW,ACTIVEHYBRID 5,MID-SIZE,2.1825,65.00%,10.00%,15.00%,10.00%,2.62445625,0.2728125,2.509875,0.982125,6.38926875,5796248.771,0.49651875,0.109125,0.23571,0.6874875,1.52884125,7.91811
BMW,ACTIVEHYBRID 7L,FULL-SIZE,2.34,65.00%,10.00%,15.00%,10.00%,2.81385,0.2925,2.691,1.053,6.85035,6214534.765,0.53235,0.117,0.25272,0.7371,1.63917,8.48952
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,2.4305,65.00%,10.00%,15.00%,10.00%,2.92267625,0.3038125,2.795075,1.093725,7.11528875,6454883.225,0.55293875,0.121525,0.262494,0.7656075,1.70256525,8.817854
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,2.43,65.00%,10.00%,15.00%,10.00%,2.922075,0.30375,2.7945,1.0935,7.113825,6453555.333,0.552825,0.1215,0.26244,0.76545,1.702215,8.81604
BMW,M5,MID-SIZE,2.53,65.00%,10.00%,15.00%,10.00%,3.042325,0.31625,2.9095,1.1385,7.406575,6719133.741,0.575575,0.1265,0.27324,0.79695,1.772265,9.17884
BMW,M5,MID-SIZE,2.53,65.00%,10.00%,15.00%,10.00%,3.042325,0.31625,2.9095,1.1385,7.406575,6719133.741,0.575575,0.1265,0.27324,0.79695,1.772265,9.17884
BMW,M6,COMPACT,2.2575,65.00%,10.00%,15.00%,10.00%,2.71464375,0.2821875,2.596125,1.015875,6.60883125,5995432.578,0.51358125,0.112875,0.24381,0.7111125,1.58137875,8.19021
BMW,M6,COMPACT,2.2575,65.00%,10.00%,15.00%,10.00%,2.71464375,0.2821875,2.596125,1.015875,6.60883125,5995432.578,0.51358125,0.112875,0.24381,0.7111125,1.58137875,8.19021
