,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Consumption City MPG,Fuel Consumption Hwy MPG,Carbon emissions per mile(g)
5977,jaguar,f-type,TWO-SEATER,2.0,4.0,AS8,Premium Gasoline,10.2,7.8,9.2,31,23.0,30.0,286.7741935483871
5978,jaguar,f-type,TWO-SEATER,3.0,6.0,AS8,Premium Gasoline,11.9,8.5,10.4,27,20.0,28.0,329.25925925925924
5979,jaguar,f-type,TWO-SEATER,3.0,6.0,M6,Premium Gasoline,14.9,9.8,12.6,22,16.0,24.0,404.0909090909091
5980,jaguar,f-type,TWO-SEATER,3.0,6.0,AS8,Premium Gasoline,12.4,8.8,10.8,26,19.0,27.0,341.92307692307696
5981,jaguar,f-type,TWO-SEATER,3.0,6.0,M6,Premium Gasoline,15.3,10.0,12.9,22,15.0,24.0,404.0909090909091
5982,jaguar,f-type,TWO-SEATER,3.0,6.0,AS8,Premium Gasoline,13.0,9.2,11.3,25,18.0,26.0,355.6
5983,jaguar,f-type,TWO-SEATER,5.0,8.0,AS8,Premium Gasoline,15.6,10.4,13.3,21,15.0,23.0,423.3333333333333
5984,jaguar,f-type,TWO-SEATER,5.0,8.0,AS8,Premium Gasoline,15.6,10.4,13.3,21,15.0,23.0,423.3333333333333
5985,jaguar,xe,COMPACT,2.0,4.0,AS8,Diesel,7.8,5.8,6.9,41,30.0,41.0,248.2926829268293
5986,jaguar,xe,COMPACT,2.0,4.0,AS8,Premium Gasoline,9.8,6.9,8.5,33,24.0,34.0,269.3939393939394
5987,jaguar,xe,COMPACT,3.0,6.0,AS8,Premium Gasoline,11.8,8.2,10.2,28,20.0,29.0,317.5
5988,jaguar,xf,MID-SIZE,2.0,4.0,AS8,Diesel,7.8,5.8,6.9,41,30.0,41.0,248.2926829268293
5989,jaguar,xf,MID-SIZE,2.0,4.0,AS8,Premium Gasoline,10.1,7.2,8.8,32,23.0,33.0,277.8125
5990,jaguar,xf,MID-SIZE,3.0,6.0,AS8,Premium Gasoline,12.0,8.4,10.4,27,20.0,28.0,329.25925925925924
5991,jaguar,xj,FULL-SIZE,3.0,6.0,AS8,Premium Gasoline,14.0,9.0,11.8,24,17.0,26.0,370.41666666666663
5992,jaguar,xjl,FULL-SIZE,3.0,6.0,AS8,Premium Gasoline,14.0,9.4,11.9,24,17.0,25.0,370.41666666666663
5993,jaguar,xjr,FULL-SIZE,5.0,8.0,AS8,Premium Gasoline,15.8,10.3,13.3,21,15.0,23.0,423.3333333333333
5994,jeep,cherokee,SUV - SMALL,2.0,4.0,A9,Regular Gasoline,10.4,7.6,9.1,31,23.0,31.0,286.7741935483871
5995,jeep,cherokee,SUV - SMALL,2.4,4.0,A9,Regular Gasoline,10.8,7.6,9.3,30,22.0,31.0,296.3333333333333
5996,jeep,cherokee,SUV - SMALL,3.2,6.0,A9,Regular Gasoline,11.9,8.2,10.2,28,20.0,29.0,317.5
5997,jeep,cherokee,SUV - SMALL,2.0,4.0,A9,Regular Gasoline,11.2,8.0,9.8,29,21.0,29.0,306.55172413793105
5998,jeep,cherokee,SUV - SMALL,2.4,4.0,A9,Regular Gasoline,11.2,8.0,9.8,29,21.0,29.0,306.55172413793105
5999,jeep,cherokee,SUV - SMALL,3.2,6.0,A9,Regular Gasoline,12.2,8.6,10.6,27,19.0,27.0,329.25925925925924
6000,jeep,cherokee,SUV - SMALL,2.0,4.0,A9,Regular Gasoline,11.5,8.6,10.2,28,20.0,27.0,317.5
6001,jeep,cherokee,SUV - SMALL,3.2,6.0,A9,Regular Gasoline,12.8,9.0,11.1,25,18.0,26.0,355.6
6002,jeep,cherokee,SUV - SMALL,2.0,4.0,A9,Regular Gasoline,11.8,9.2,10.6,27,20.0,26.0,329.25925925925924
6003,jeep,cherokee,SUV - SMALL,3.2,6.0,A9,Regular Gasoline,12.9,9.9,11.6,24,18.0,24.0,370.41666666666663
6004,jeep,compass,SUV - SMALL,2.4,4.0,A6,Regular Gasoline,10.6,7.6,9.3,30,22.0,31.0,296.3333333333333
6005,jeep,compass,SUV - SMALL,2.4,4.0,M6,Regular Gasoline,10.4,7.3,9.0,31,23.0,32.0,286.7741935483871
6006,jeep,compass,SUV - SMALL,2.4,4.0,A9,Regular Gasoline,10.8,7.8,9.5,30,22.0,30.0,296.3333333333333
6007,jeep,compass,SUV - SMALL,2.4,4.0,M6,Regular Gasoline,10.8,7.6,9.4,30,22.0,31.0,296.3333333333333
6008,jeep,grand,SUV - STANDARD,3.6,6.0,A8,Regular Gasoline,12.7,9.6,11.3,25,19.0,25.0,355.6
6009,jeep,grand,SUV - STANDARD,5.7,8.0,A8,Regular Gasoline,16.7,10.9,14.1,20,14.0,22.0,444.5
6010,jeep,grand,SUV - STANDARD,3.0,6.0,A8,Diesel,11.2,8.5,10.0,28,21.0,28.0,363.57142857142856
6011,jeep,grand,SUV - STANDARD,6.4,8.0,A8,Premium Gasoline,18.3,12.6,15.7,18,13.0,19.0,493.88888888888886
6012,jeep,grand,SUV - STANDARD,6.2,8.0,A8,Premium Gasoline,20.9,13.8,17.7,16,11.0,17.0,555.625
6013,jeep,renegade,SUV - SMALL,1.3,4.0,A9,Regular Gasoline,9.8,7.4,8.7,32,24.0,32.0,277.8125
6014,jeep,renegade,SUV - SMALL,2.4,4.0,A9,Regular Gasoline,10.8,7.8,9.5,30,22.0,30.0,296.3333333333333
6015,jeep,renegade,SUV - SMALL,1.3,4.0,A9,Regular Gasoline,10.1,8.1,9.2,31,23.0,29.0,286.7741935483871
6016,jeep,renegade,SUV - SMALL,2.4,4.0,A9,Regular Gasoline,11.2,8.2,9.8,29,21.0,29.0,306.55172413793105
6017,jeep,renegade,SUV - SMALL,1.3,4.0,A9,Regular Gasoline,10.8,8.7,9.9,29,22.0,27.0,306.55172413793105
6018,jeep,wrangler,SUV - SMALL,2.0,4.0,A8,Regular Gasoline,10.5,9.4,10.0,28,22.0,25.0,317.5
6019,jeep,wrangler,SUV - SMALL,3.6,6.0,A8,Regular Gasoline,12.8,10.4,11.8,24,18.0,23.0,370.41666666666663
6020,jeep,wrangler,SUV - SMALL,3.6,6.0,M6,Regular Gasoline,13.7,9.6,11.8,24,17.0,25.0,370.41666666666663
6021,jeep,wrangler,SUV - SMALL,2.0,4.0,A8,Regular Gasoline,10.9,10.0,10.5,27,22.0,24.0,329.25925925925924
6022,jeep,wrangler,SUV - SMALL,3.6,6.0,A8,Regular Gasoline,12.9,10.2,11.7,24,18.0,23.0,370.41666666666663
6023,jeep,wrangler,SUV - SMALL,3.6,6.0,M6,Regular Gasoline,13.8,10.1,12.2,23,17.0,23.0,386.52173913043475
6024,kia,cadenza,FULL-SIZE,3.3,6.0,AS8,Regular Gasoline,11.6,8.5,10.2,28,20.0,28.0,317.5
6025,kia,forte,MID-SIZE,2.0,4.0,AV,Regular Gasoline,7.7,5.9,6.9,41,31.0,40.0,216.82926829268294
6026,kia,forte,MID-SIZE,2.0,4.0,M6,Regular Gasoline,8.6,6.4,7.6,37,27.0,37.0,240.2702702702703
6027,kia,niro,STATION WAGON - SMALL,1.6,4.0,AM6,Regular Gasoline,4.6,5.1,4.8,59,51.0,46.0,150.67796610169492
6028,kia,niro,STATION WAGON - SMALL,1.6,4.0,AM6,Regular Gasoline,4.5,4.8,4.7,60,52.0,49.0,148.16666666666666
6029,kia,niro,STATION WAGON - SMALL,1.6,4.0,AM6,Regular Gasoline,5.1,5.8,5.4,52,46.0,41.0,170.96153846153848
6030,kia,optima,FULL-SIZE,2.0,4.0,AS6,Regular Gasoline,11.2,7.9,9.7,29,21.0,30.0,306.55172413793105
